Description,Time,CoPx,CoPy
WL1,23.0,0.004949411819226634,0.02955480465650836
WL1,24.0,0.004411094609094609,0.02714758352758353
WL1,25.0,0.004638532235939643,0.02791709431653876
WL1,26.0,0.005001927997927998,0.030376327376327377
WL1,27.0,0.004922777889000111,0.03298963381900419
WL1,28.0,0.004717703555703555,0.03585050778850779
WL1,29.0,0.0049735224483743005,0.03706779168056946
WL1,30.0,0.004828195471195471,0.03843151104451104
WL1,31.0,0.004313274200126052,0.034918922626330035
WL1,32.0,0.004541498945498945,0.02997548333148333
WL1,33.0,0.004099892299707114,0.026398377303229158
WL1,34.0,0.004255393865393866,0.025745385984385985
WL1,35.0,0.004860831386942498,0.026901803284766247
WL1,36.0,0.005529310504310504,0.029630874236874234
WL1,37.0,0.004701661921180439,0.03445205275646016
WL1,38.0,0.005010331964331965,0.0354201623931624
WL1,39.0,0.004842303636970304,0.03612122326029733
WL1,40.0,0.004682656824656825,0.03500866008066008
WL1,41.0,0.00423263578393208,0.03293726674822971
WL1,42.0,0.004028351019351019,0.02873547966847967
WL1,43.0,0.004427461461461462,0.025475865828791754
WL1,44.0,0.004106382099382099,0.024745742368742368
WL1,45.0,0.0050894151558966375,0.02480302650798947
WL1,46.0,0.0047860465090465085,0.02908166426166426
WL1,47.0,0.004370764171578986,0.032440011048085124
WL1,48.0,0.004129650127650128,0.035111046398046394
WL1,49.0,0.004749125199273347,0.03686263745226708
WL1,50.0,0.004635945646945647,0.03805543352943353
WL1,51.0,0.0046976505765024285,0.03507745007970934
WL1,52.0,0.0039985528545528545,0.02868505760905761
WL1,53.0,0.0036642435769102433,0.026861739146553962
WL1,54.0,0.004972842897842898,0.027811930365930368
WL1,55.0,0.004455870722574426,0.027915140622103585
WL1,56.0,0.004028023532023532,0.02829812568912569
WL1,57.0,0.003992098987876766,0.03273108730953175
WL1,58.0,0.003977762385762386,0.03593791541791542
WL1,59.0,0.005125077559040523,0.03842445931116301
WL1,60.0,0.00499231410113611,0.038147679438627756
WL2,0.0,-0.00018390226689478188,0.030812091531223267
WL2,1.0,-1.4768697268697265e-05,0.02891936618761619
WL2,2.0,0.00016327754388468675,0.02615359358498644
WL2,3.0,0.0001620006435006435,0.023521127448877452
WL2,4.0,0.0003415387826459255,0.022764466497787926
WL2,5.0,0.000147246281996282,0.023610714714714712
WL2,6.0,0.000676830526616241,0.02603193117596689
WL2,7.0,0.0002422299442299442,0.028076334906334904
WL2,8.0,0.00036760378906807475,0.03095758523619238
WL2,9.0,0.0007524764049764049,0.03270708383383383
WL2,10.0,0.000672755351791066,0.03237927897102897
WL2,11.0,0.0007413502788502788,0.030704638173888174
WL2,12.0,0.0006658900742115028,0.027276283181104612
WL2,13.0,0.0005459743672243672,0.024563203953953956
WL2,14.0,0.00041034797345511635,0.02449398387326959
WL2,15.0,0.0003118689403689404,0.024718295938795938
WL2,16.0,-0.00019342821464250033,0.026609357785072073
WL2,17.0,0.00028600975975975976,0.030695462212212213
WL2,18.0,0.0003668187526758955,0.0321350707506779
WL2,19.0,0.0003236988774488775,0.03318512394537394
WL2,20.0,0.0004040578350221207,0.032942991330098474
WL2,21.0,-1.5723258973258967e-05,0.03040749342199342
WL2,22.0,-0.00037223765520194086,0.028654404845154847
WL2,23.0,-0.0004649311096811097,0.025449439475189475
WL2,24.0,-0.000689783930355359,0.02535247720137006
WL2,25.0,-0.00030011268411268415,0.02498634412984413
WL2,26.0,0.0003182301983730555,0.026878257528186098
WL2,27.0,0.00015180090805090804,0.032225581903331905
WL2,28.0,0.0001987708363065506,0.03323510378906808
WL2,29.0,-9.009144859144859e-05,0.03358296192621193
WL2,30.0,-0.00010612569573283859,0.033681438311688315
WL2,31.0,3.2709387959387965e-05,0.029651322143572145
WL2,32.0,-8.926716141001855e-05,0.028512990224061653
WL2,33.0,-7.110153010153012e-05,0.027413396825396827
WL2,34.0,0.0009696828885400314,0.0258654272156415
WL2,35.0,0.0009282804947804946,0.025277674924924925
WL2,36.0,0.000680162123590695,0.027625699372056514
WL2,37.0,0.0008776126841126841,0.03028591924066924
WL2,38.0,0.0010980022834308548,0.03427212194947909
WL2,39.0,0.000848202094952095,0.03553095652795653
WL2,40.0,0.0005016152775795632,0.03414367614528329
WL2,41.0,0.00014453360503360505,0.031904641677391675
